product_id,group_id,variant_id,confidence,evidence
wmt_984065346,apple_apple_macbook_air_laptop_13,"apple_apple_macbook_air_laptop_13/config:4gb_128gb_restored_apple_13.3-inch_macbook_air_md760ll/a_laptop,_(intel_core_i5_dual-core_1.3ghz_up_to_2.6ghz,_4gb_ram,_mac_os,_128gb_ssd)_-_silver_(refurbished)/size:13.3/silicon:intel_i5/packaging:new",0.8499,"variant_text_strong,group_text_strong,axes_complete,variant_axes_consistent,group_popular"
wmt_9963221656,asus_vivobook_15_15_6_full,asus_vivobook_15_15_6_full/config:8gb_256gb_asus_vivobook_15.6_inch_windows_laptop_intel_core_i5-1235u_8gb_ram_256gb_ssd_quiet_blue/size:15.6/silicon:intel_i5_1235u/packaging:new,0.85,"variant_text_strong,group_text_strong,axes_complete,variant_axes_consistent,group_popular"
wmt_9906519989,lenovo_ideapad_slim_3_chromebook_laptop,"lenovo_ideapad_slim_3_chromebook_laptop/config:4gb_64gb_lenovo_slim_3_chromebook_laptop_for_business_student,_14''_fhd_ips_touchscreen,_8-core_mediatek_kompanio_520_processor,_4gb_ram,_64gb_emmc,_wi-fi_6,_bluetooth,_chrome_os,_abyss_blue/size:14/silicon:intel_i3_1215u/packaging:new",0.8464,"variant_text_strong,group_text_strong,axes_complete,variant_axes_consistent"
wmt_999973162,lenovo_thinkpad_14_full_hd_intel,"lenovo_thinkpad_14_full_hd_intel/config:16gb_1024gb_lenovo_thinkpad_x1_carbon_gen_9_20xw_-_ultrabook_-_intel_core_i7_-_1165g7_/_up_to_4.7_ghz_-_win_10_pro_64-bit_-_intel_iris_xe_graphics_-_16_gb_ram_-_1_tb_ssd_tcg_opal_encryption_2,_nvme,_tlc_-_14""_ips_1920_x_1080_(full_hd)_-_wi-fi_6_-_black_paint_-_kbd:_us/size:14/silicon:intel_i7_intel_iris_xe/packaging:new",0.8494,"variant_text_strong,group_text_strong,axes_complete,variant_axes_consistent,group_popular"
wmt_9969804547,asus_vivobook_15_15_6_full,asus_vivobook_15_15_6_full/config:8gb_512gb_asus_tuf_gaming_a15_15.6_inch_fhd_144hz_gaming_laptop_amd_ryzen_7-7435hs_nvidia_geforce_rtx_3050_4gb_-_8gb_ddr5_512_gb_ssd_black_(2024)/size:15.6/silicon:amd_ryzen7_nvidia_rtx_3050/packaging:new,0.847,"variant_text_strong,group_text_strong,axes_complete,variant_axes_consistent,group_popular"
wmt_9993006061,microsoft_surface_laptop_copilot_pc_13,microsoft_surface_laptop_copilot_pc_13/config:32gb_1024gb_silver/size:13/silicon:intel_i5_1245u/packaging:bundle,0.8414,"variant_text_strong,group_text_strong,axes_complete,variant_axes_consistent"
wmt_989414933,apple_apple_macbook_air_11_6,"apple_apple_macbook_air_11_6/config:4gb_128gb_restored_apple_macbook_air_laptop_core_i5_1.6ghz_4gb_ram_128gb_ssd_11""_mjvm2ll/a_(2015)_(refurbished)/size:11.6/silicon:intel_i5/packaging:new",0.861,"variant_text_strong,group_text_strong,axes_complete,variant_axes_consistent,group_popular"
wmt_995073547,apple_apple_macbook_air_laptop_13,"apple_apple_macbook_air_laptop_13/config:8gb_128gb_restored_apple_macbook_air_laptop_apple_m1_8-core_cpu_7-core_gpu_8gb_ram_128gb_ssd_13""_space_gray_mgn53ll/a_(2020)_(refurbished)/size:13.3/silicon:apple_m1/packaging:new",0.8526,"variant_text_strong,group_text_strong,axes_complete,variant_axes_consistent,group_popular"
wmt_985662997,hp_laptop_14_dq0004dx_intel_celeron,"hp_laptop_14_dq0004dx_intel_celeron/config:4gb_64gb_hp_laptop_14-dq0004dx_-_intel_celeron_-_n4020_/_up_to_2.8_ghz_-_win_10_home_in_s_mode_-_uhd_graphics_600_-_4_gb_ram_-_64_gb_emmc_-_14""_1366_x_768_(hd)_-_wi-fi_5_-_vertical_brushed_pattern,_natural_silver_(keyboard_frame),_paint_finish_(cover_and_base),_pale_rose_gold_(cover_and_base),_in_mould-roll_keyboard_frame_-_kbd:_us/size:11.6/silicon:intel_i3/packaging:new",0.8407,"variant_text_strong,group_text_strong,axes_complete,variant_axes_consistent"
wmt_995678174,dell_dell_latitude_5400_laptop_intel,dell_dell_latitude_5400_laptop_intel/config:16gb_512gb_restored_dell_latitude_e6440_14.0_laptop_-_intel_core_i7_4610m_4th_gen_3.0_ghz_16gb_512gb_ssd_dvd-rw_windows_10_pro_64-bit_-_webcam_(refurbished)/size:14/silicon:intel_i7_4610m/packaging:new,0.8419,"variant_text_strong,group_text_strong,axes_complete,variant_axes_consistent,group_popular"
